feature,importance
vix_close,465.8533217906952
spy_close,370.7752822358161
atm_iv_mean_change_5d,258.4037614837289
intraday_range,242.72540600411594
avg_option_volume,239.582588060759
atm_iv_long,178.15821362659335
iv_range,142.89923012256622
atm_iv_mean,136.56603802740574
total_transactions,134.38231134414673
atm_iv_short,124.07486448436975
iv_smile,123.4085640758276
return_1d,115.21935619413853
iv_skew_call,109.19314620643854
total_option_volume,108.11689977161586
atm_iv_medium,104.94542318582535
put_call_volume_ratio_change_5d,98.81586134433746
macd_histogram,96.68443267047405
volume_pct_atm,88.42603756859899
put_call_volume_ratio,83.52115635573864
atm_iv_std,82.40364238154143
iv_skew_put_change_5d,81.82253721356392
iv_skew_put,80.20594350248575
put_call_volume_ratio_change_1d,73.98596031218767
volume_pct_itm,72.98276190087199
atm_iv_mean_change_1d,71.30761130154133
iv_term_structure_slope,66.53904341906309
iv_p75,64.94768704473972
iv_p50,63.37345516681671
iv_skew_put_change_1d,63.325459979474545
macd_signal,55.346767611801624
macd,52.108716517686844
vol_risk_premium_change_1d,51.13403984904289
vol_risk_premium,42.41992896795273
iv_p25,30.516651667654514
vol_parkinson_5d,23.65714131295681
market_return_1d,21.853900909423828
vix_high,19.902385368943214
return_acceleration,5.89987188577652
vwap_ratio_5d,2.015549898147583
vix_change_1d,1.3223299980163574
volume_ma_5d,1.1337409913539886
volume_ratio_5d,0.43350300192832947
vix_change_pct_1d,0.39121800661087036
ma_dist_5d,0.22175100445747375
spy_volume,0.22110779583454132
vix_low,0.15769969671964645
vol_gk_15d,0.0
vol_parkinson_15d,0.0
vol_parkinson_10d,0.0
vol_close_10d,0.0
vol_gk_5d,0.0
vol_close_5d,0.0
return_5d,0.0
return_10d,0.0
vol_close_15d,0.0
vol_gk_10d,0.0
bb_width,0.0
vol_of_vol_10d,0.0
volume_ma_10d,0.0
vol_of_vol_5d,0.0
volume_ratio_10d,0.0
vwap_ratio_10d,0.0
vol_of_vol_15d,0.0
rsi,0.0
ma_dist_15d,0.0
ma_dist_10d,0.0
bb_position,0.0
vix_ma_10d,0.0
vix_regime_high,0.0
vix_regime_extreme,0.0
vix_ma_5d,0.0
market_return_5d,0.0
market_vol_10d,0.0
market_vol_5d,0.0
relative_vol,0.0
volume_anomaly,0.0
